Date,Confirmed,Total Confirmed,Confirmed Deaths,Total Deaths,Male,Female,Unknown,Month
2020/08/24 00:00:00+00,147,28116,0,1777,12185.0,15757.0,27.0,August
2020/08/25 00:00:00+00,92,28201,0,1777,12261.0,15821.0,27.0,August
2020/08/26 00:00:00+00,164,28363,0,1777,12313.0,15857.0,29.0,August
2020/08/27 00:00:00+00,93,28453,0,1777,12395.0,15937.0,28.0,August
2020/08/28 00:00:00+00,127,28578,0,1777,12446.0,15977.0,28.0,August
2020/08/29 00:00:00+00,142,28720,0,1777,12517.0,16034.0,27.0,August
2020/08/30 00:00:00+00,42,28760,0,1777,12589.0,16101.0,28.0,August
2020/08/31 00:00:00+00,53,28811,0,1777,12607.0,16123.0,28.0,August
2020/09/01 00:00:00+00,217,29025,0,1777,12632.0,16148.0,28.0,September
2020/09/02 00:00:00+00,89,29114,1,1777,12736.0,16261.0,28.0,September
2020/09/03 00:00:00+00,95,29206,0,1777,12774.0,16309.0,28.0,September
2020/09/04 00:00:00+00,98,29303,0,1777,12827.0,16350.0,28.0,September
2020/09/05 00:00:00+00,231,29534,0,1777,12875.0,16400.0,28.0,September
2020/09/06 00:00:00+00,138,29672,0,1777,12990.0,16514.0,30.0,September
2020/09/07 00:00:00+00,102,29774,0,1777,13049.0,16593.0,30.0,September
2020/09/08 00:00:00+00,307,30080,1,1778,13093.0,16650.0,30.0,September
